accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.5523777008056641,0.5998088717460632,10.955229759216309,0.8454712629318237,0.5389540791511536,0.6414342522621155,0.4889659881591797,10.76733112335205,0.7925026416778564,0.7475099563598633,9.999999747378752e-06
0.557244062423706,0.6122180819511414,10.855876922607422,0.8491321802139282,0.5430095791816711,0.6430279016494751,0.4871232211589813,10.689581871032715,0.7944915294647217,0.7470119595527649,9.999999747378752e-06
0.5620251297950745,0.625324547290802,10.759134292602539,0.8555853962898254,0.5443969964981079,0.649402379989624,0.4902783930301666,10.606634140014648,0.794670820236206,0.7574701309204102,9.999999747378752e-06
0.5732092261314392,0.6471315622329712,10.658516883850098,0.8652849793434143,0.5525079965591431,0.6505976319313049,0.4900968670845032,10.524086952209473,0.7949921488761902,0.7589641213417053,9.999999747378752e-06
0.5816614031791687,0.655981719493866,10.564400672912598,0.870769739151001,0.5601921081542969,0.6557769179344177,0.4890715777873993,10.438992500305176,0.7948453426361084,0.7679283022880554,9.999999747378752e-06
0.5803807973861694,0.6539416313171387,10.486908912658691,0.8690969347953796,0.5597652196884155,0.6545816659927368,0.4902159571647644,10.358107566833496,0.7942238450050354,0.7669322490692139,9.999999747378752e-06
0.5946384072303772,0.6664961576461792,10.389530181884766,0.8769983649253845,0.5737460255622864,0.6549800634384155,0.4878116548061371,10.281131744384766,0.7970863580703735,0.762948215007782,9.999999747378752e-06
0.5899428129196167,0.6757249236106873,10.295906066894531,0.876753032207489,0.5671291351318359,0.6557769179344177,0.48774921894073486,10.193156242370605,0.792732834815979,0.7714143395423889,9.999999747378752e-06
0.5988218188285828,0.6876797676086426,10.203898429870605,0.8846977353096008,0.5732123851776123,0.6673306822776794,0.4882288873195648,10.108195304870605,0.7960625886917114,0.7853585481643677,9.999999747378752e-06
0.6081277132034302,0.7028316855430603,10.103876113891602,0.8889973759651184,0.5829242467880249,0.6613546013832092,0.49165886640548706,10.025290489196777,0.7942073345184326,0.7783864736557007,9.999999747378752e-06
0.611798882484436,0.7072260975837708,10.013995170593262,0.8897688984870911,0.5875133275985718,0.6597609519958496,0.49157702922821045,9.945979118347168,0.7937881946563721,0.7763944268226624,9.999999747378752e-06
0.6189703941345215,0.7214534878730774,9.917460441589355,0.8968138694763184,0.59178227186203,0.6609562039375305,0.49157753586769104,9.863126754760742,0.7956055402755737,0.7753984332084656,9.999999747378752e-06
0.6316912770271301,0.733408510684967,9.821619987487793,0.9040920734405518,0.6036285758018494,0.6521912217140198,0.4921310842037201,9.785686492919922,0.7975878119468689,0.7574701309204102,9.999999747378752e-06
0.6304960250854492,0.7489792108535767,9.723514556884766,0.9091204404830933,0.5978655219078064,0.6577689051628113,0.49398425221443176,9.698830604553223,0.798751950263977,0.7649402618408203,9.999999747378752e-06
0.6347647905349731,0.7452220916748047,9.644412994384766,0.9034865498542786,0.6084311604499817,0.6525896191596985,0.4932580292224884,9.619772911071777,0.7976939082145691,0.7579681277275085,9.999999747378752e-06
